episodio,goal_id,resultado,pasos,reward,heading_rad
347,goal_04,exito,620,123.31,3.0822
348,goal_04,exito,620,123.31,3.0822
349,goal_04,exito,620,123.3,3.0823
350,goal_04,exito,620,123.33,3.0819
351,goal_04,exito,620,123.32,3.0819
352,goal_04,exito,620,123.34,3.0818
353,goal_04,exito,620,123.32,3.0821
354,goal_04,exito,620,123.32,3.0822
355,goal_04,exito,620,123.3,3.0823
356,goal_04,exito,620,123.31,3.0821
357,goal_04,exito,620,123.32,3.082
358,goal_04,exito,620,123.33,3.0818
359,goal_04,exito,620,123.34,3.0818
360,goal_04,exito,620,123.32,3.0821
361,goal_04,exito,620,123.32,3.0822
362,goal_04,exito,620,123.3,3.0822
363,goal_04,exito,620,123.32,3.0821
364,goal_04,exito,620,123.31,3.0821
365,goal_04,exito,620,123.35,3.0817
366,goal_04,exito,620,123.32,3.082
367,goal_04,exito,620,123.34,3.082
368,goal_04,exito,620,123.3,3.0822
369,goal_04,exito,620,123.32,3.0822
370,goal_04,exito,620,123.31,3.0823
371,goal_04,exito,620,123.34,3.0819
372,goal_04,exito,620,123.33,3.0819
373,goal_04,exito,620,123.34,3.0818
374,goal_04,exito,620,123.31,3.0822
375,goal_04,exito,620,123.31,3.0822
376,goal_04,exito,620,123.3,3.0824
377,goal_04,exito,620,123.32,3.0821
378,goal_04,exito,620,123.33,3.082
379,goal_04,exito,620,123.34,3.0817
380,goal_04,exito,620,123.34,3.0819
381,goal_04,exito,620,123.32,3.0821
382,goal_04,exito,620,123.31,3.0823
383,goal_04,exito,620,123.3,3.0823
384,goal_04,exito,620,123.33,3.082
385,goal_04,exito,620,123.32,3.082
386,goal_04,exito,620,123.35,3.0817
387,goal_04,exito,620,123.32,3.082
388,goal_04,exito,620,123.33,3.0821
389,goal_04,exito,620,123.3,3.0823
390,goal_04,exito,620,123.32,3.0822
391,goal_04,exito,620,123.31,3.0822
392,goal_04,exito,620,123.34,3.0818
393,goal_04,exito,620,123.33,3.0819
394,goal_04,exito,620,123.34,3.0818
395,goal_04,exito,620,123.31,3.0822
396,goal_04,exito,620,123.31,3.0823
397,goal_04,exito,620,123.3,3.0824
398,goal_04,exito,620,123.33,3.082
399,goal_04,exito,620,123.33,3.0819
400,goal_04,exito,620,123.34,3.0817
401,goal_05,exito,243,68.13,-1.5151
402,goal_05,exito,243,68.05,-1.5137
403,goal_05,exito,243,68.01,-1.5125
404,goal_05,exito,243,68.03,-1.5131
405,goal_05,exito,243,68.04,-1.5133
406,goal_05,exito,243,68.02,-1.5128
407,goal_05,exito,244,68.03,-1.5083
408,goal_05,exito,244,68.03,-1.5084
409,goal_05,exito,243,68.01,-1.5123
410,goal_05,exito,243,68.02,-1.5126
411,goal_05,exito,243,68.04,-1.5135
412,goal_05,exito,243,68.02,-1.5128
413,goal_05,exito,244,68.02,-1.5081
414,goal_05,exito,244,68.06,-1.5084
