episodio,goal_id,tipo_episodio,resultado,pasos,reward,llego_estanteria
816,goal_09,exit,exito,982,203.17,True
817,goal_09,exit,exito,968,202.64,True
818,goal_09,exit,exito,992,201.71,True
819,goal_09,exit,exito,981,203.1,True
820,goal_09,exit,exito,970,202.3,True
821,goal_09,exit,exito,974,202.39,True
822,goal_09,exit,exito,982,203.17,True
823,goal_09,exit,exito,972,201.07,True
824,goal_09,exit,exito,991,201.99,True
825,goal_09,exit,exito,972,202.18,True
826,goal_09,exit,exito,998,200.21,True
827,goal_09,exit,exito,980,203.27,True
828,goal_09,exit,exito,998,200.85,True
829,goal_09,exit,exito,992,201.67,True
830,goal_09,exit,exito,978,201.33,True
831,goal_09,exit,exito,978,201.07,True
832,goal_09,exit,exito,971,202.61,True
833,goal_09,exit,exito,973,203.42,True
834,goal_09,exit,exito,966,203.38,True
835,goal_09,exit,exito,992,201.64,True
836,goal_09,exit,exito,963,202.31,True
837,goal_09,exit,exito,989,200.01,True
838,goal_09,exit,exito,980,201.24,True
839,goal_09,exit,exito,966,203.38,True
840,goal_09,exit,exito,970,202.29,True
841,goal_09,exit,exito,973,201.65,True
842,goal_09,exit,exito,993,201.86,True
843,goal_09,exit,exito,991,202.1,True
844,goal_09,exit,exito,972,203.15,True
845,goal_09,exit,exito,981,203.15,True
846,goal_09,exit,exito,976,203.1,True
847,goal_09,exit,exito,970,202.3,True
848,goal_09,exit,colision,1,-150.0,True
849,goal_09,exit,exito,983,202.04,True
850,goal_09,exit,exito,977,202.98,True
851,goal_09,exit,exito,991,202.33,True
852,goal_09,exit,exito,954,202.9,True
853,goal_09,exit,exito,992,201.64,True
854,goal_09,exit,exito,972,203.12,True
855,goal_09,exit,exito,967,203.47,True
856,goal_09,exit,exito,972,201.8,True
857,goal_09,exit,exito,973,203.05,True
858,goal_09,exit,exito,973,203.42,True
859,goal_09,exit,exito,973,203.41,True
860,goal_09,exit,exito,992,201.67,True
861,goal_09,exit,exito,973,203.51,True
862,goal_09,exit,exito,967,202.56,True
863,goal_09,exit,exito,972,202.74,True
864,goal_09,exit,exito,958,203.05,True
865,goal_09,exit,exito,992,201.64,True
866,goal_09,exit,exito,967,202.57,True
867,goal_09,exit,exito,969,202.98,True
868,goal_09,exit,exito,989,202.19,True
869,goal_09,exit,exito,992,201.65,True
870,goal_09,exit,exito,981,203.02,True
871,goal_09,exit,exito,984,201.01,True
872,goal_09,exit,exito,975,201.06,True
873,goal_09,exit,exito,968,201.77,True
874,goal_09,exit,exito,970,202.55,True
875,goal_09,exit,exito,972,203.13,True
876,goal_09,exit,exito,977,202.57,True
877,goal_09,exit,exito,966,203.42,True
878,goal_09,exit,exito,973,202.32,True
879,goal_09,exit,exito,962,203.28,True
880,goal_09,exit,exito,998,201.97,True
881,goal_09,exit,exito,974,203.05,True
882,goal_09,exit,exito,972,203.15,True
883,goal_09,exit,exito,963,202.45,True
884,goal_09,exit,exito,990,200.0,True
885,goal_09,exit,exito,977,202.99,True
886,goal_09,exit,exito,991,200.71,True
887,goal_09,exit,exito,992,201.49,True
888,goal_09,exit,exito,991,201.05,True
889,goal_09,exit,exito,963,202.47,True
890,goal_09,exit,exito,963,202.46,True
891,goal_09,exit,exito,990,200.94,True
892,goal_09,exit,exito,992,200.85,True
893,goal_09,exit,exito,992,200.83,True
894,goal_09,exit,exito,964,202.87,True
895,goal_09,exit,exito,974,203.0,True
896,goal_09,exit,exito,974,203.03,True
897,goal_09,exit,exito,981,203.15,True
898,goal_09,exit,exito,961,202.61,True
899,goal_09,exit,exito,986,200.48,True
900,goal_09,exit,exito,955,202.4,True
901,goal_10,exit,exito,872,191.19,True
902,goal_10,exit,exito,901,188.85,True
903,goal_10,exit,exito,883,190.37,True
904,goal_10,exit,exito,886,191.04,True
905,goal_10,exit,exito,885,188.99,True
906,goal_10,exit,exito,897,188.39,True
907,goal_10,exit,exito,894,188.99,True
908,goal_10,exit,exito,889,191.25,True
909,goal_10,exit,exito,885,191.3,True
910,goal_10,exit,exito,895,188.93,True
911,goal_10,exit,exito,874,190.64,True
912,goal_10,exit,exito,881,190.72,True
913,goal_10,exit,exito,898,190.12,True
914,goal_10,exit,exito,874,190.21,True
915,goal_10,exit,exito,897,190.16,True
916,goal_10,exit,exito,878,191.39,True
917,goal_10,exit,exito,903,188.75,True
918,goal_10,exit,exito,884,190.14,True
919,goal_10,exit,exito,886,188.86,True
920,goal_10,exit,exito,883,190.32,True
921,goal_10,exit,exito,874,190.32,True
922,goal_10,exit,exito,881,190.12,True
923,goal_10,exit,exito,867,190.49,True
924,goal_10,exit,exito,879,189.22,True
925,goal_10,exit,exito,882,189.15,True
926,goal_10,exit,exito,879,191.55,True
927,goal_10,exit,exito,903,190.5,True
928,goal_10,exit,exito,896,189.21,True
929,goal_10,exit,exito,878,190.96,True
930,goal_10,exit,exito,888,191.05,True
931,goal_10,exit,exito,885,190.94,True
932,goal_10,exit,exito,901,188.75,True
933,goal_10,exit,exito,881,189.56,True
934,goal_10,exit,exito,865,190.1,True
935,goal_10,exit,exito,888,191.3,True
936,goal_10,exit,exito,867,190.49,True
937,goal_10,exit,exito,889,191.37,True
938,goal_10,exit,exito,899,189.01,True
939,goal_10,exit,exito,881,190.16,True
940,goal_10,exit,exito,881,190.11,True
941,goal_10,exit,exito,878,191.39,True
942,goal_10,exit,exito,889,191.37,True
943,goal_10,exit,exito,882,191.55,True
944,goal_10,exit,exito,902,190.52,True
945,goal_10,exit,exito,901,188.81,True
946,goal_10,exit,exito,896,190.41,True
947,goal_10,exit,exito,895,188.39,True
948,goal_10,exit,exito,889,191.41,True
949,goal_10,exit,exito,886,191.04,True
950,goal_10,exit,exito,882,189.11,True
951,goal_10,exit,exito,872,191.23,True
952,goal_10,exit,exito,885,191.31,True
953,goal_10,exit,exito,870,190.26,True
954,goal_10,exit,exito,870,190.22,True
955,goal_10,exit,exito,884,191.02,True
956,goal_10,exit,exito,886,191.09,True
957,goal_10,exit,exito,875,191.13,True
958,goal_10,exit,exito,886,191.11,True
959,goal_10,exit,exito,888,191.09,True
960,goal_10,exit,exito,881,191.36,True
961,goal_10,exit,exito,879,190.48,True
962,goal_10,exit,exito,886,191.03,True
963,goal_10,exit,exito,885,191.34,True
964,goal_10,exit,exito,888,191.24,True
965,goal_10,exit,exito,878,191.39,True
966,goal_10,exit,exito,889,191.42,True
967,goal_10,exit,exito,901,188.8,True
968,goal_10,exit,exito,878,191.39,True
969,goal_10,exit,exito,880,188.54,True
970,goal_10,exit,exito,888,189.02,True
971,goal_10,exit,exito,889,191.37,True
972,goal_10,exit,exito,878,191.4,True
973,goal_10,exit,exito,874,191.21,True
974,goal_10,exit,exito,869,190.97,True
975,goal_10,exit,exito,871,190.26,True
976,goal_10,exit,exito,881,190.97,True
977,goal_10,exit,exito,879,190.47,True
978,goal_10,exit,exito,896,190.48,True
979,goal_10,exit,exito,897,189.93,True
980,goal_10,exit,exito,871,191.03,True
981,goal_10,exit,exito,885,191.3,True
982,goal_10,exit,exito,882,191.55,True
983,goal_10,exit,exito,883,190.36,True
984,goal_10,exit,exito,882,191.53,True
985,goal_10,exit,exito,875,191.17,True
986,goal_10,exit,exito,879,190.55,True
987,goal_10,exit,exito,877,190.84,True
988,goal_10,exit,exito,882,189.91,True
989,goal_10,exit,exito,896,188.14,True
990,goal_10,exit,exito,898,190.19,True
991,goal_10,exit,exito,878,191.41,True
992,goal_10,exit,exito,886,191.04,True
993,goal_10,exit,exito,875,190.4,True
994,goal_10,exit,exito,889,191.38,True
995,goal_10,exit,exito,869,191.01,True
996,goal_10,exit,exito,878,191.39,True
997,goal_10,exit,exito,878,188.98,True
998,goal_10,exit,exito,898,190.11,True
999,goal_10,exit,exito,874,191.2,True
1000,goal_10,exit,exito,886,191.08,True
1001,goal_11,exit,colision,1,-150.0,True
