episodio,goal_id,tipo_episodio,resultado,pasos,reward,llego_estanteria
1840,goal_19,ciclo_completo,exito,1633,358.04,True
1841,goal_19,ciclo_completo,exito,1633,358.05,True
1842,goal_19,ciclo_completo,exito,1633,358.05,True
1843,goal_19,ciclo_completo,exito,1633,358.05,True
1844,goal_19,ciclo_completo,exito,1633,358.05,True
1845,goal_19,ciclo_completo,exito,1633,358.04,True
1846,goal_19,ciclo_completo,exito,1633,358.05,True
1847,goal_19,ciclo_completo,exito,1633,358.05,True
1848,goal_19,ciclo_completo,exito,1633,358.05,True
1849,goal_19,ciclo_completo,exito,1633,358.04,True
1850,goal_19,ciclo_completo,exito,1633,358.05,True
1851,goal_19,ciclo_completo,exito,1633,358.05,True
1852,goal_19,ciclo_completo,exito,1633,358.05,True
1853,goal_19,ciclo_completo,exito,1633,358.05,True
1854,goal_19,ciclo_completo,exito,1633,358.05,True
1855,goal_19,ciclo_completo,exito,1633,358.05,True
1856,goal_19,ciclo_completo,exito,1633,358.05,True
1857,goal_19,ciclo_completo,exito,1633,358.04,True
1858,goal_19,ciclo_completo,exito,1633,358.05,True
1859,goal_19,ciclo_completo,exito,1633,358.05,True
1860,goal_19,ciclo_completo,exito,1633,358.05,True
1861,goal_19,ciclo_completo,exito,1633,358.05,True
1862,goal_19,ciclo_completo,exito,1633,358.05,True
1863,goal_19,ciclo_completo,exito,1633,358.04,True
1864,goal_19,ciclo_completo,exito,1633,358.04,True
1865,goal_19,ciclo_completo,exito,1633,358.05,True
1866,goal_19,ciclo_completo,exito,1633,358.05,True
1867,goal_19,ciclo_completo,exito,1633,358.05,True
1868,goal_19,ciclo_completo,exito,1633,358.05,True
1869,goal_19,ciclo_completo,exito,1633,358.05,True
1870,goal_19,ciclo_completo,exito,1633,358.05,True
1871,goal_19,ciclo_completo,exito,1633,358.05,True
1872,goal_19,ciclo_completo,exito,1633,358.04,True
1873,goal_19,ciclo_completo,exito,1633,358.05,True
1874,goal_19,ciclo_completo,exito,1633,358.05,True
1875,goal_19,ciclo_completo,exito,1633,358.05,True
1876,goal_19,ciclo_completo,exito,1633,358.05,True
1877,goal_19,ciclo_completo,exito,1633,358.05,True
1878,goal_19,ciclo_completo,exito,1633,358.05,True
1879,goal_19,ciclo_completo,exito,1633,358.04,True
1880,goal_19,ciclo_completo,exito,1633,358.04,True
1881,goal_19,ciclo_completo,exito,1633,358.05,True
1882,goal_19,ciclo_completo,exito,1633,358.05,True
1883,goal_19,ciclo_completo,exito,1633,358.05,True
1884,goal_19,ciclo_completo,exito,1633,358.05,True
1885,goal_19,ciclo_completo,exito,1633,358.05,True
1886,goal_19,ciclo_completo,exito,1633,358.05,True
1887,goal_19,ciclo_completo,exito,1633,358.05,True
1888,goal_19,ciclo_completo,exito,1633,358.05,True
1889,goal_19,ciclo_completo,exito,1633,358.05,True
1890,goal_19,ciclo_completo,exito,1633,358.04,True
1891,goal_19,ciclo_completo,exito,1633,358.05,True
1892,goal_19,ciclo_completo,exito,1633,358.06,True
1893,goal_19,ciclo_completo,exito,1633,358.05,True
1894,goal_19,ciclo_completo,exito,1633,358.05,True
1895,goal_19,ciclo_completo,exito,1633,358.04,True
1896,goal_19,ciclo_completo,exito,1633,358.05,True
1897,goal_19,ciclo_completo,exito,1633,358.05,True
1898,goal_19,ciclo_completo,exito,1633,358.05,True
1899,goal_19,ciclo_completo,exito,1633,358.05,True
1900,goal_19,ciclo_completo,exito,1633,358.06,True
1901,goal_20,ciclo_completo,exito,1964,410.91,True
1902,goal_20,ciclo_completo,exito,1964,410.9,True
1903,goal_20,ciclo_completo,exito,1964,410.92,True
1904,goal_20,ciclo_completo,exito,1964,410.92,True
1905,goal_20,ciclo_completo,exito,1964,410.92,True
1906,goal_20,ciclo_completo,exito,1964,410.92,True
1907,goal_20,ciclo_completo,exito,1964,410.92,True
1908,goal_20,ciclo_completo,exito,1964,410.91,True
1909,goal_20,ciclo_completo,exito,1964,410.92,True
1910,goal_20,ciclo_completo,exito,1964,410.92,True
1911,goal_20,ciclo_completo,exito,1964,410.92,True
1912,goal_20,ciclo_completo,exito,1964,410.92,True
1913,goal_20,ciclo_completo,exito,1964,410.92,True
1914,goal_20,ciclo_completo,exito,1964,410.91,True
1915,goal_20,ciclo_completo,exito,1964,410.92,True
1916,goal_20,ciclo_completo,exito,1964,410.92,True
1917,goal_20,ciclo_completo,exito,1964,410.92,True
1918,goal_20,ciclo_completo,exito,1964,410.92,True
1919,goal_20,ciclo_completo,exito,1964,410.9,True
1920,goal_20,ciclo_completo,exito,1964,410.9,True
1921,goal_20,ciclo_completo,exito,1964,410.9,True
1922,goal_20,ciclo_completo,exito,1964,410.92,True
1923,goal_20,ciclo_completo,exito,1964,410.92,True
1924,goal_20,ciclo_completo,exito,1964,410.91,True
1925,goal_20,ciclo_completo,exito,1964,410.9,True
1926,goal_20,ciclo_completo,exito,1964,410.9,True
1927,goal_20,ciclo_completo,exito,1964,410.9,True
1928,goal_20,ciclo_completo,exito,1964,410.91,True
1929,goal_20,ciclo_completo,exito,1964,410.91,True
1930,goal_20,ciclo_completo,exito,1964,410.91,True
1931,goal_20,ciclo_completo,exito,1964,410.9,True
1932,goal_20,ciclo_completo,exito,1964,410.9,True
1933,goal_20,ciclo_completo,exito,1964,410.9,True
1934,goal_20,ciclo_completo,exito,1964,410.91,True
1935,goal_20,ciclo_completo,exito,1964,410.92,True
1936,goal_20,ciclo_completo,exito,1964,410.9,True
1937,goal_20,ciclo_completo,exito,1964,410.9,True
