episodio,goal_id,rep,resultado,pasos,reward,warehouse_id,metodo,seed,peaton
349,goal_035,9,exito,17787,2842.04,05,sthwp,524,1
350,goal_035,10,col_return,12225,1764.15,05,sthwp,524,1
351,goal_036,1,exito,18036,2877.02,05,sthwp,524,1
352,goal_036,2,col_return,12214,1762.52,05,sthwp,524,1
353,goal_036,3,exito,18036,2877.13,05,sthwp,524,1
354,goal_036,4,exito,18035,2876.56,05,sthwp,524,1
355,goal_036,5,exito,18035,2876.48,05,sthwp,524,1
356,goal_036,6,col_return,12807,1848.87,05,sthwp,524,1
357,goal_036,7,exito,18036,2877.13,05,sthwp,524,1
358,goal_036,8,col_return,12384,1785.81,05,sthwp,524,1
359,goal_036,9,exito,18036,2877.13,05,sthwp,524,1
360,goal_036,10,exito,18035,2826.9,05,sthwp,524,1
361,goal_037,1,col_return,8875,1205.13,05,sthwp,524,1
362,goal_037,2,exito,14484,2287.98,05,sthwp,524,1
363,goal_037,3,exito,14484,2288.24,05,sthwp,524,1
364,goal_037,4,col_return,8702,1179.79,05,sthwp,524,1
365,goal_037,5,exito,14486,2287.89,05,sthwp,524,1
366,goal_037,6,exito,14482,2288.52,05,sthwp,524,1
367,goal_037,7,exito,14482,2240.9,05,sthwp,524,1
368,goal_037,8,col_return,8873,1205.18,05,sthwp,524,1
369,goal_037,9,exito,14484,2287.86,05,sthwp,524,1
370,goal_037,10,exito,14484,2288.23,05,sthwp,524,1
371,goal_038,1,exito,16952,2592.89,05,sthwp,524,1
372,goal_038,2,exito,16950,2592.66,05,sthwp,524,1
373,goal_038,3,col_return,11750,1561.72,05,sthwp,524,1
374,goal_038,4,exito,16954,2591.83,05,sthwp,524,1
375,goal_038,5,exito,16952,2592.75,05,sthwp,524,1
376,goal_038,6,col_return,11410,1517.43,05,sthwp,524,1
377,goal_038,7,exito,16954,2591.98,05,sthwp,524,1
378,goal_038,8,exito,16952,2590.07,05,sthwp,524,1
379,goal_038,9,col_return,11242,1496.72,05,sthwp,524,1
380,goal_038,10,exito,16954,2591.91,05,sthwp,524,1
381,goal_039,1,exito,14427,2276.35,05,sthwp,524,1
382,goal_039,2,exito,14428,2276.58,05,sthwp,524,1
383,goal_039,3,exito,14427,2277.04,05,sthwp,524,1
384,goal_039,4,exito,14427,2277.02,05,sthwp,524,1
385,goal_039,5,exito,14426,2276.78,05,sthwp,524,1
386,goal_039,6,exito,14430,2223.73,05,sthwp,524,1
387,goal_039,7,col_return,8843,1199.58,05,sthwp,524,1
388,goal_039,8,exito,14432,2276.18,05,sthwp,524,1
389,goal_039,9,exito,14427,2277.18,05,sthwp,524,1
390,goal_039,10,col_return,8746,1183.98,05,sthwp,524,1
391,goal_040,1,exito,16885,2586.36,05,sthwp,524,1
392,goal_040,2,exito,16885,2583.85,05,sthwp,524,1
393,goal_040,3,col_return,11216,1494.31,05,sthwp,524,1
394,goal_040,4,exito,16884,2586.17,05,sthwp,524,1
395,goal_040,5,exito,16885,2584.06,05,sthwp,524,1
396,goal_040,6,col_return,11221,1496.07,05,sthwp,524,1
397,goal_040,7,exito,16885,2586.37,05,sthwp,524,1
398,goal_040,8,exito,16885,2584.25,05,sthwp,524,1
399,goal_040,9,col_return,11221,1497.3,05,sthwp,524,1
400,goal_040,10,exito,16885,2586.36,05,sthwp,524,1
401,goal_041,1,exito,14288,2264.11,05,sthwp,524,1
402,goal_041,2,exito,14288,2264.16,05,sthwp,524,1
403,goal_041,3,exito,14288,2264.16,05,sthwp,524,1
404,goal_041,4,exito,14288,2264.16,05,sthwp,524,1
